No. Of Ads,Ranking,Keywords,Header,Text,URL,Location,Timestamp
4,1,vegan food,Be a Vegan,Start Today Learn How ,www.FriendsofAnimals.org,,1270490383
4,2,vegan food,How To Eat Vegetarian,Get a Free Guide to Protect Your Health &amp; Animals. Visit Our Site! ,www.TryVeg.com,,1270490383
4,3,vegan food,Maru Global Takoyaki,All-Day quick delivery of the most authentic Japanese in the city! ,www.maruphilly.com,"Philadelphia, PA",1270490383
4,4,vegan food,Karmavore Vegan Shop,"Vegan Treats, Fashion, Books, Pet Food, Shoes, Cosmetics, &amp; More! ",karmavore.ca,,1270490383
4,1,vegetarian menus,Free Vegetarian Recipes,"Easy, healthy, delicious &amp; free. Plus lots more info. Start cooking! ",www.TryVeg.com,,1270490397
4,2,vegetarian menus,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270490397
4,3,vegetarian menus,Vegetarian Menus,Find Thousands of Recipes at KitchenDaily &amp; Delight Your Guests! ,KitchenDaily.com,,1270490397
4,4,vegetarian menus,What&#39;s Cooking Vegan?,Best of Vegan Cooking 84 healthy and delicious recipes ,www.friendsofanimals.org,,1270490397
4,1,vegetarian menu,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270490403
4,2,vegetarian menu,Vegetarian Food Delivery,"Hungry? Don&#39;t Wait To Eat. Find It, Order It, Get It Delivered Now! ",www.Delivery.com,"Philadelphia, PA",1270490403
4,3,vegetarian menu,Be a Vegan,Start Today Learn How ,www.FriendsofAnimals.org,,1270490403
4,4,vegetarian menu,Vegetarian Recipes,Thousands of Free Meat-Free Meals For You and Your Family! ,VegCooking.com,,1270490403
3,1,vegetarian lifestyle,Oppose Cruelty,Make A Difference In The World. Try Our Free Vegetarian Recipes! ,TryVegetarian.Org,,1270490408
3,2,vegetarian lifestyle,The Bad News About Soy,Hexane: the dirty little secret about soy foods. Get the truth. ,www.cornucopia.org/soy,,1270490408
